dom          class     gr  pr.bin      No      Tp      Fp  Tp.perc  Fp.perc
T0859-D1        FM  RR013     0.0    3160      78    3082    2.468   97.532
T0859-D1        FM  RR013     0.1     267      14     253    5.243   94.757
T0859-D1        FM  RR013     0.2      44       5      39   11.364   88.636
T0859-D1        FM  RR013     0.3      12       1      11    8.333   91.667
T0859-D1        FM  RR013     0.4       5       0       5    0.000  100.000
T0859-D1        FM  RR013     0.5       2       0       2    0.000  100.000
T0859-D1        FM  RR013     0.6       0       0       0    0.000    0.000
T0859-D1        FM  RR013     0.7       0       0       0    0.000    0.000
T0859-D1        FM  RR013     0.8       0       0       0    0.000    0.000
T0859-D1        FM  RR013     0.9       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.0    5069     136    4933    2.683   97.317
T0859-D1        FM  RR020     0.1     178       3     175    1.685   98.315
T0859-D1        FM  RR020     0.2      15       0      15    0.000  100.000
T0859-D1        FM  RR020     0.3       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.4       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.5       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.6       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.7       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.8       0       0       0    0.000    0.000
T0859-D1        FM  RR020     0.9       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.0    5262     139    5123    2.642   97.358
T0859-D1        FM  RR024     0.1       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.2       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.3       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.4       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.5       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.6       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.7       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.8       0       0       0    0.000    0.000
T0859-D1        FM  RR024     0.9       0       0       0    0.000    0.000
T0859-D1        FM  RR040     0.0     179       7     172    3.911   96.089
T0859-D1        FM  RR040     0.1      14       2      12   14.286   85.714
T0859-D1        FM  RR040     0.2      31       0      31    0.000  100.000
T0859-D1        FM  RR040     0.3       3       1       2   33.333   66.667
T0859-D1        FM  RR040     0.4       5       0       5    0.000  100.000
T0859-D1        FM  RR040     0.5       2       0       2    0.000  100.000
T0859-D1        FM  RR040     0.6       2       0       2    0.000  100.000
T0859-D1        FM  RR040     0.7      30       4      26   13.333   86.667
T0859-D1        FM  RR040     0.8       4       0       4    0.000  100.000
T0859-D1        FM  RR040     0.9       9       0       9    0.000  100.000
T0859-D1        FM  RR044     0.0     417      16     401    3.837   96.163
